,order_number,product_name,quantity,price,payment_mode,store_name,city,country,year,order_date,month_name,day_name,revenue,unit_price
356,101427,Harley-Davidson Forty-Eight,38,8000,Credit card,HARLEY-DAVIDSON MALLORCA,Brickhaven,USA,2004,2004-08-02,August,Monday,304000,210.52631578947367
357,101428,Harley-Davidson Forty-Eight,41,8000,Cash,HARLEY-DAVIDSON VALENCIA,Gensve,Switzerland,2004,2004-08-30,August,Monday,328000,195.1219512195122
358,101429,Harley-Davidson Forty-Eight,22,8000,NetBanking,HARLEY-DAVIDSON ALMERIA,Frankfurt,Germany,2003,2003-10-04,October,Saturday,176000,363.6363636363636
359,101430,Harley-Davidson Forty-Eight,49,8000,Cash,HARLEY-DAVIDSON SEVILLA,Koln,Germany,2004,2004-10-16,October,Saturday,392000,163.26530612244898
360,101431,Harley-Davidson Forty-Eight,38,8000,Credit card,HARLEY-DAVIDSON MADRID SUR,Lule,Sweden,2004,2004-11-03,November,Wednesday,304000,210.52631578947367
361,101432,Harley-Davidson Forty-Eight,33,8000,Cash,HARLEY-DAVIDSON GRANADA,NYC,USA,2004,2004-11-15,November,Monday,264000,242.42424242424244
362,101433,Harley-Davidson Forty-Eight,36,8000,NetBanking,HARLEY-DAVIDSON MURCIA,Salzburg,Austria,2004,2004-11-24,November,Wednesday,288000,222.22222222222223
363,101434,Harley-Davidson Forty-Eight,34,8000,Cash,HARLEY-DAVIDSON BARCELONA,Espoo,Finland,2005,2005-01-06,January,Thursday,272000,235.2941176470588
364,101435,Harley-Davidson Forty-Eight,24,8000,Cash,HARLEY-DAVIDSON EXTREMADURA,Helsinki,Finland,2005,2005-02-09,February,Wednesday,192000,333.3333333333333
365,101436,Harley-Davidson Forty-Eight,36,8000,Cash,LA NAVE HARLEY-DAVIDSON,Boras,Sweden,2005,2005-03-03,March,Thursday,288000,222.22222222222223
366,101437,Harley-Davidson Forty-Eight,34,8000,Cash,HARLEY-DAVIDSON ESPACIO BCN,Salzburg,Austria,2005,2005-05-17,May,Tuesday,272000,235.2941176470588
367,101438,Harley-Davidson Forty-Eight,41,8000,Cash,HARLEY-DAVIDSON ASTURIAS,Madrid,Spain,2003,2003-01-31,January,Friday,328000,195.1219512195122
368,101439,Harley-Davidson Forty-Eight,46,8000,Cash,HARLEY-DAVIDSON BILBAO,NYC,USA,2003,2003-04-04,April,Friday,368000,173.91304347826087
369,101440,Harley-Davidson Forty-Eight,24,8000,Credit card,HARLEY-DAVIDSON LLEIDA,NYC,USA,2003,2003-06-03,June,Tuesday,192000,333.3333333333333
370,101441,Harley-Davidson Forty-Eight,21,8000,Cash,HARLEY-DAVIDSON LLEIDA,Espoo,Finland,2003,2003-08-01,August,Friday,168000,380.95238095238096
371,101442,Harley-Davidson Forty-Eight,24,8000,Credit card,HARLEY-DAVIDSON MADRID,Oulu,Finland,2003,2003-09-21,September,Sunday,192000,333.3333333333333
372,101443,Harley-Davidson Forty-Eight,48,8000,NetBanking,HARLEY-DAVIDSON TARRACO,Singapore,Singapore,2003,2003-10-22,October,Wednesday,384000,166.66666666666666
373,101444,Harley-Davidson Forty-Eight,26,8000,Cash,HARLEY-DAVIDSON VIGO,London,UK,2003,2003-11-06,November,Thursday,208000,307.6923076923077
374,101445,Harley-Davidson Forty-Eight,37,8000,Credit card,HARLEY-DAVIDSON ALICANTE,Sevilla,Spain,2003,2003-11-14,November,Friday,296000,216.21621621621622
375,101446,Harley-Davidson Forty-Eight,49,8000,NetBanking,HARLEY-DAVIDSON TENERIFE,White Plains,USA,2003,2003-11-25,November,Tuesday,392000,163.26530612244898
376,101447,Harley-Davidson Forty-Eight,34,8000,Credit card,HARLEY-DAVIDSON ZARAGOZA,Boston,USA,2003,2003-12-09,December,Tuesday,272000,235.2941176470588
377,101448,Harley-Davidson Forty-Eight,48,8000,NetBanking,HARLEY-DAVIDSON SIEBLA-MALAGA,Brisbane,USA,2004,2004-02-10,February,Tuesday,384000,166.66666666666666
378,101449,Harley-Davidson Forty-Eight,36,8000,NetBanking,CHEYENNE RADIKAL BIKES,San Rafael,USA,2004,2004-03-11,March,Thursday,288000,222.22222222222223
379,101450,Harley-Davidson Forty-Eight,46,8000,Credit card,HARLEY-DAVIDSON GIRONA,Madrid,Spain,2004,2004-05-05,May,Wednesday,368000,173.91304347826087
380,101451,Harley-Davidson Forty-Eight,46,8000,Credit card,HARLEY-HEAVEN WESTERN SYDNEY,Singapore,Singapore,2004,2004-06-15,June,Tuesday,368000,173.91304347826087
381,101452,Harley-Davidson Forty-Eight,31,8000,Cash,ROCKINGHAM HARLEY-DAVIDSON,San Rafael,USA,2004,2004-07-20,July,Tuesday,248000,258.06451612903226
382,101453,Harley-Davidson Forty-Eight,41,8000,Cash,FRASER MOTORCYCLES WOLLONGONG,Allentown,USA,2004,2004-08-19,August,Thursday,328000,195.1219512195122
383,101454,Harley-Davidson Forty-Eight,21,8000,NetBanking,MORGAN & WACKER HARLEY-DAVIDSON,NYC,USA,2004,2004-09-08,September,Wednesday,168000,380.95238095238096
384,101455,Harley-Davidson Forty-Eight,38,8000,NetBanking,QUICK FIX HARLEY-DAVIDSON,Cambridge,USA,2004,2004-10-13,October,Wednesday,304000,210.52631578947367
385,101456,Harley-Davidson Forty-Eight,45,8000,Cash,HARLEY HEAVEN - RINGWOOD,Aaarhus,Denmark,2004,2004-10-22,October,Friday,360000,177.77777777777777
386,101457,Harley-Davidson Forty-Eight,26,8000,Cash,RICHARDSON'S HARLEY-DAVIDSON,NYC,USA,2004,2004-11-05,November,Friday,208000,307.6923076923077
387,101458,Harley-Davidson Forty-Eight,38,8000,Credit card,MACKAY HARLEY-DAVIDSON,Paris,France,2004,2004-11-20,November,Saturday,304000,210.52631578947367
388,101459,Harley-Davidson Forty-Eight,48,8000,NetBanking,TRARALGON HARLEY-DAVIDSON,NYC,USA,2004,2004-12-01,December,Wednesday,384000,166.66666666666666
389,101460,Harley-Davidson Forty-Eight,42,8000,Credit card,DARLING DOWNS HARLEY-DAVIDSON,Madrid,Spain,2004,2004-12-10,December,Friday,336000,190.47619047619048
390,101461,Harley-Davidson Forty-Eight,49,8000,Cash,HORSHAM HARLEY-DAVIDSON,San Rafael,USA,2005,2005-01-23,January,Sunday,392000,163.26530612244898
391,101462,Harley-Davidson Forty-Eight,32,8000,Cash,NORTHERN BEACHES HARLEY-DAVIDSON,San Rafael,USA,2005,2005-02-17,February,Thursday,256000,250.0
392,101463,Harley-Davidson Forty-Eight,54,8000,NetBanking,HIGHWAY HARLEY-DAVIDSON,Madrid,Spain,2005,2005-05-03,May,Tuesday,432000,148.14814814814815
393,101464,Harley-Davidson Forty-Eight,33,8000,Credit card,NORTH COAST V-TWINS,Nantes,France,2005,2005-05-31,May,Tuesday,264000,242.42424242424244
394,101465,Harley-Davidson Forty-Eight,36,8000,NetBanking,THOMAS LEE MOTORCYCLES,Makati City,Philippines,2003,2003-03-03,March,Monday,288000,222.22222222222223
395,101466,Harley-Davidson Forty-Eight,20,8000,NetBanking,FRASER MOTORCYCLES SYDNEY,Marseille,France,2003,2003-05-08,May,Thursday,160000,400.0
396,101467,Harley-Davidson Forty-Eight,29,8000,NetBanking,PERTH HARLEY-DAVIDSON,San Rafael,USA,2003,2003-07-02,July,Wednesday,232000,275.86206896551727
397,101468,Harley-Davidson Forty-Eight,33,8000,Cash,HARLEY HEAVEN - DANDENONG,Brickhaven,USA,2003,2003-09-05,September,Friday,264000,242.42424242424244
398,101469,Harley-Davidson Forty-Eight,50,8000,Credit card,SUNSHINE COAST HARLEY-DAVIDSON,Los Angeles,USA,2003,2003-10-11,October,Saturday,400000,160.0
399,101470,Harley-Davidson Fat Boy,41,6000,Cash,GREAT SOUTHERN MOTORCYCLES,Graz,Austria,2003,2003-11-04,November,Tuesday,246000,146.34146341463415
400,101471,Harley-Davidson Fat Boy,36,6000,Credit card,HARLEY MAGIC,Bergen,Norway,2003,2003-11-12,November,Wednesday,216000,166.66666666666666
401,101472,Harley-Davidson Fat Boy,27,6000,Credit card,BUNBURY HARLEY-DAVIDSON,Nashua,USA,2003,2003-11-20,November,Thursday,162000,222.22222222222223
402,101473,Harley-Davidson Fat Boy,47,6000,NetBanking,WESTERN RANGES MOTORCYCLES ORANGE,Madrid,Spain,2003,2003-12-02,December,Tuesday,282000,127.65957446808511
403,101474,Harley-Davidson Fat Boy,33,6000,NetBanking,PORT CITY HARLEY-DAVIDSON,Madrid,Spain,2004,2004-01-16,January,Friday,198000,181.8181818181818
404,101475,Harley-Davidson Fat Boy,21,6000,NetBanking,GASOLINE ALLEY HARLEY-DAVIDSON,Gensve,Switzerland,2004,2004-02-22,February,Sunday,126000,285.7142857142857
405,101476,Harley-Davidson Fat Boy,21,6000,Credit card,SY'S HARLEY-DAVIDSON,Oulu,Finland,2004,2004-04-12,April,Monday,126000,285.7142857142857
406,101477,Harley-Davidson Fat Boy,41,6000,Credit card,HARLEY-HEAVEN - MELBOURNE,Liverpool,UK,2004,2004-06-01,June,Tuesday,246000,146.34146341463415
407,101478,Harley-Davidson Fat Boy,40,6000,Cash,GOLD COAST HARLEY-DAVIDSON,Reggio Emilia,Italy,2004,2004-07-06,July,Tuesday,240000,150.0
408,101479,Harley-Davidson Fat Boy,28,6000,NetBanking,MORGAN & WACKER HARLEY-DAVIDSON,Singapore,Singapore,2004,2004-08-04,August,Wednesday,168000,214.28571428571428
409,101480,Harley-Davidson Fat Boy,23,6000,NetBanking,GEELONG HARLEY-DAVIDSON,Gensve,Switzerland,2004,2004-08-30,August,Monday,138000,260.8695652173913
410,101481,Harley-Davidson Fat Boy,23,6000,Cash,WESTERN RANGES MOTORCYCLES ORANGE,Frankfurt,Germany,2003,2003-10-04,October,Saturday,138000,260.8695652173913
411,101482,Harley-Davidson Fat Boy,25,6000,NetBanking,BUNBURY HARLEY-DAVIDSON,Koln,Germany,2004,2004-10-16,October,Saturday,150000,240.0
412,101483,Harley-Davidson Fat Boy,24,6000,Cash,PORT CITY HARLEY-DAVIDSON,New Bedford,USA,2004,2004-11-04,November,Thursday,144000,250.0
413,101484,Harley-Davidson Fat Boy,39,6000,NetBanking,CANBERRA HARLEY-DAVIDSON,NYC,USA,2004,2004-11-15,November,Monday,234000,153.84615384615384
414,101485,Harley-Davidson Fat Boy,55,6000,NetBanking,BUNDABERG HARLEY-DAVIDSON,Salzburg,Austria,2004,2004-11-24,November,Wednesday,330000,109.0909090909091
415,101486,Harley-Davidson Fat Boy,46,6000,NetBanking,HARLEY CENTRAL,Espoo,Finland,2005,2005-01-06,January,Thursday,276000,130.43478260869566
416,101487,Harley-Davidson Fat Boy,50,6000,Credit card,HIDDEN VALLEY HARLEY-DAVIDSON,Helsinki,Finland,2005,2005-02-09,February,Wednesday,300000,120.0
417,101488,Harley-Davidson Fat Boy,47,6000,NetBanking,SUNCITY HARLEY-DAVIDSON,Boras,Sweden,2005,2005-03-03,March,Thursday,282000,127.65957446808511
418,101489,Harley-Davidson Fat Boy,97,6000,NetBanking,ADELAIDE HARLEY-DAVIDSON BIKE WORKS,Strasbourg,France,2005,2005-04-14,April,Thursday,582000,61.855670103092784
419,101490,Harley-Davidson Fat Boy,32,6000,Cash,WESTERN RANGES MOTORCYCLES,Salzburg,Austria,2005,2005-05-17,May,Tuesday,192000,187.5
420,101491,Harley-Davidson Fat Boy,35,6000,NetBanking,GOLDFIELDS BIKEWORKS,Stavern,Norway,2003,2003-01-29,January,Wednesday,210000,171.42857142857142
421,101492,Harley-Davidson Fat Boy,49,6000,Cash,CITY BIKEWORX,San Rafael,USA,2003,2003-03-26,March,Wednesday,294000,122.44897959183673
422,101493,Harley-Davidson Fat Boy,38,6000,Credit card,HARLEY HEAVEN - ADELAIDE,Madrid,Spain,2003,2003-05-28,May,Wednesday,228000,157.89473684210526
423,101494,Harley-Davidson Fat Boy,32,6000,Credit card,ROCKY HARLEY-DAVIDSON,Burlingame,USA,2003,2003-07-24,July,Thursday,192000,187.5
424,101495,Harley-Davidson Fat Boy,34,6000,Cash,HARBOUR CITY HARLEY-DAVIDSON,Singapore,Singapore,2003,2003-09-19,September,Friday,204000,176.47058823529412
425,101496,Harley-Davidson Fat Boy,36,6000,Cash,GEELONG HARLEY-DAVIDSON,Graz,Austria,2003,2003-10-21,October,Tuesday,216000,166.66666666666666
426,101497,Harley-Davidson Fat Boy,48,6000,Cash,RIDGES HARLEY-DAVIDSON,South Brisbane,Australia,2003,2003-11-06,November,Thursday,288000,125.0
427,101498,Harley-Davidson Fat Boy,21,6000,Credit card,SEVEN ISLANDS HARLEY-DAVIDSON,Philadelphia,USA,2003,2003-11-13,November,Thursday,126000,285.7142857142857
428,101499,Harley-Davidson Fat Boy,21,6000,Cash,BANJARA HARLEY-DAVIDSON,Lyon,France,2003,2003-11-25,November,Tuesday,126000,285.7142857142857
429,101500,Harley-Davidson Fat Boy,34,6000,NetBanking,TUSKER HARLEY-DAVIDSON LAVELLE ROAD,Vancouver,Canada,2003,2003-12-05,December,Friday,204000,176.47058823529412
430,101501,Harley-Davidson Fat Boy,46,6000,Credit card,CAPITAL HARLEY-DAVIDSON,Burbank,USA,2004,2004-01-29,January,Thursday,276000,130.43478260869566
431,101502,Harley-Davidson Fat Boy,32,6000,NetBanking,GRAND TRUNK HARLEY-DAVIDSON,Cambridge,USA,2004,2004-03-10,March,Wednesday,192000,187.5
432,101503,Harley-Davidson Fat Boy,29,6000,NetBanking,BISON HARLEY-DAVIDSON KORAMANGLA,New Haven,USA,2004,2004-05-04,May,Tuesday,174000,206.89655172413794
433,101504,Harley-Davidson Fat Boy,41,6000,Credit card,MACH-1 HARLEY-DAVIDSON,Minato-ku,Japan,2004,2004-06-15,June,Tuesday,246000,146.34146341463415
434,101505,Harley-Davidson Fat Boy,43,6000,Credit card,SPICE COAST HARLEY-DAVIDSON,Chatswood,Australia,2004,2004-07-19,July,Monday,258000,139.53488372093022
435,101506,Harley-Davidson Fat Boy,24,6000,NetBanking,KONARK HARLEY-DAVIDSON,Torino,Italy,2004,2004-08-17,August,Tuesday,144000,250.0
436,101507,Harley-Davidson Fat Boy,41,6000,NetBanking,SUNRISE HARLEY-DAVIDSON,Boras,Sweden,2004,2004-09-08,September,Wednesday,246000,146.34146341463415
437,101508,Harley-Davidson Fat Boy,46,6000,Credit card,RED FORT HARLEY-DAVIDSON,Versailles,France,2004,2004-10-11,October,Monday,276000,130.43478260869566
438,101509,Harley-Davidson Fat Boy,32,6000,NetBanking,BRAHMAPUTRA HARLEY-DAVIDSON,San Rafael,USA,2004,2004-10-21,October,Thursday,192000,187.5
439,101510,Harley-Davidson Fat Boy,22,6000,Credit card,GOA HARLEY-DAVIDSON,Nashua,USA,2004,2004-11-04,November,Thursday,132000,272.72727272727275
440,101511,Harley-Davidson Fat Boy,29,6000,Cash,DUNES HARLEY-DAVIDSON,San Francisco,USA,2004,2004-11-18,November,Thursday,174000,206.89655172413794
441,101512,Harley-Davidson Fat Boy,42,6000,Credit card,TWO RIVERS HARLEY-DAVIDSON,Melbourne,Australia,2004,2004-11-29,November,Monday,252000,142.85714285714286
442,101513,Harley-Davidson Fat Boy,39,6000,Credit card,TIGER HARLEY-DAVIDSON,San Rafael,USA,2004,2004-12-10,December,Friday,234000,153.84615384615384
443,101514,Harley-Davidson Fat Boy,27,6000,NetBanking,FOOTHILLS HARLEY-DAVIDSON,North Sydney,Australia,2005,2005-01-20,January,Thursday,162000,222.22222222222223
444,101515,Harley-Davidson Fat Boy,48,6000,Cash,CAPITAL HARLEY-DAVIDSON,San Francisco,USA,2005,2005-02-17,February,Thursday,288000,125.0
445,101516,Harley-Davidson Fat Boy,29,6000,Credit card,MALABAR HARLEY-DAVIDSON,North Sydney,Australia,2005,2005-03-09,March,Wednesday,174000,206.89655172413794
446,101517,Harley-Davidson Fat Boy,27,6000,Credit card,THE WESTERN GHATS HARLEY-DAVIDSON,Montreal,Canada,2005,2005-05-01,May,Sunday,162000,222.22222222222223
447,101518,Harley-Davidson Fat Boy,54,6000,Credit card,EPICENTER HARLEY-DAVIDSON,Madrid,Spain,2005,2005-05-31,May,Tuesday,324000,111.11111111111111
448,101519,Harley-Davidson Fat Boy,26,6000,Credit card,DIAMOND CITY HARLEY-DAVIDSON,Philadelphia,USA,2003,2003-03-10,March,Monday,156000,230.76923076923077
449,101520,Harley-Davidson Fat Boy,34,6000,Credit card,TUSKER HARLEY-DAVIDSON INDIRA NAGAR,Marseille,France,2003,2003-05-08,May,Thursday,204000,176.47058823529412
450,101521,Harley-Davidson Fat Boy,25,6000,Cash,UNITED HARLEY-DAVIDSON,Toulouse,France,2003,2003-07-04,July,Friday,150000,240.0
451,101522,Harley-Davidson Fat Boy,23,6000,Cash,WINECITY HARLEY-DAVIDSON,North Sydney,Australia,2003,2003-09-11,September,Thursday,138000,260.8695652173913
452,101523,Harley-Davidson Fat Boy,28,6000,NetBanking,WILD CATS HARLEY-DAVIDSON,Aaarhus,Denmark,2003,2003-10-17,October,Friday,168000,214.28571428571428
453,101524,Harley-Davidson Fat Boy,35,6000,NetBanking,HIMALAYAN HARLEY-DAVIDSON,Montreal,Canada,2003,2003-11-05,November,Wednesday,210000,171.42857142857142
454,101525,Harley-Davidson Fat Boy,44,6000,Cash,BENGAL HARLEY-DAVIDSON,Bergen,Norway,2003,2003-11-12,November,Wednesday,264000,136.36363636363637
455,101526,Harley-Davidson Fat Boy,22,6000,Cash,NINE BRIDGES HARLEY-DAVIDSON,Nashua,USA,2003,2003-11-20,November,Thursday,132000,272.72727272727275
456,101527,Harley-Davidson Fat Boy,42,6000,Credit card,WARRIOR HARLEY-DAVIDSON,NYC,USA,2003,2003-12-02,December,Tuesday,252000,142.85714285714286
457,101528,Harley-Davidson Fat Boy,29,6000,Cash,T TOWN HARLEY-DAVIDSON,Madrid,Spain,2004,2004-01-16,January,Friday,174000,206.89655172413794
458,101529,Harley-Davidson Fat Boy,32,6000,Cash,WARHAWK HARLEY-DAVIDSON,Gensve,Switzerland,2004,2004-02-22,February,Sunday,192000,187.5
459,101530,Harley-Davidson Fat Bob,41,50000,Credit card,OAKLAND HARLEY-DAVIDSON,Osaka,Japan,2004,2004-04-13,April,Tuesday,2050000,1219.5121951219512
460,101531,Harley-Davidson Fat Bob,26,50000,Cash,EAGLE ROCK HARLEY-DAVIDSON,Liverpool,UK,2004,2004-06-01,June,Tuesday,1300000,1923.076923076923
461,101532,Harley-Davidson Fat Bob,21,50000,Credit card,CYCLE CENTER HARLEY-DAVIDSON,Reggio Emilia,Italy,2004,2004-07-06,July,Tuesday,1050000,2380.9523809523807
462,101533,Harley-Davidson Fat Bob,34,50000,Cash,SCHAEFFER'S HARLEY-DAVIDSON,Las Vegas,USA,2004,2004-08-06,August,Friday,1700000,1470.5882352941176
463,101534,Harley-Davidson Fat Bob,41,50000,Cash,COPPER CANYON HARLEY-DAVIDSON,Gensve,Switzerland,2004,2004-08-30,August,Monday,2050000,1219.5121951219512
464,101535,Harley-Davidson Fat Bob,37,50000,Credit card,IRON STEED HARLEY-DAVIDSON,Oslo,Norway,2003,2003-10-05,October,Sunday,1850000,1351.3513513513512
465,101536,Harley-Davidson Fat Bob,37,50000,Credit card,ADAMEC HARLEY-DAVIDSON SHOP AT REGENCY,Koln,Germany,2004,2004-10-16,October,Saturday,1850000,1351.3513513513512
466,101537,Harley-Davidson Fat Bob,41,50000,Credit card,MOUNTAIN CREEK HARLEY-DAVIDSON,New Bedford,USA,2004,2004-11-04,November,Thursday,2050000,1219.5121951219512
467,101538,Harley-Davidson Fat Bob,46,50000,Cash,SAN FRANCISCO HARLEY-DAVIDSON,Philadelphia,USA,2004,2004-11-17,November,Wednesday,2300000,1086.9565217391305
468,101539,Harley-Davidson Fat Bob,40,50000,NetBanking,TILLEY HARLEY-DAVIDSON,Melbourne,Australia,2004,2004-11-24,November,Wednesday,2000000,1250.0
469,101540,Harley-Davidson Fat Bob,43,50000,Cash,SMOKY MOUNTAIN HARLEY-DAVIDSON,Paris,France,2004,2004-12-09,December,Thursday,2150000,1162.7906976744187
470,101541,Harley-Davidson Fat Bob,30,50000,NetBanking,GRAND TETON HARLEY-DAVIDSON,New Bedford,USA,2005,2005-01-07,January,Friday,1500000,1666.6666666666667
471,101542,Harley-Davidson Fat Bob,35,50000,Cash,MILE HIGH HARLEY-DAVIDSON OF PARKER,Helsinki,Finland,2005,2005-02-09,February,Wednesday,1750000,1428.5714285714287
472,101543,Harley-Davidson Fat Bob,36,50000,Credit card,JACKSON HOLE HARLEY-DAVIDSON,San Rafael,USA,2005,2005-03-04,March,Friday,1800000,1388.888888888889
473,101544,Harley-Davidson Fat Bob,61,50000,Cash,JAVELINA HARLEY-DAVIDSON,Kobenhavn,Denmark,2005,2005-04-15,April,Friday,3050000,819.672131147541
474,101545,Harley-Davidson Fat Bob,38,50000,Cash,BARTELS HARLEY-DAVIDSON,Salzburg,Austria,2005,2005-05-17,May,Tuesday,1900000,1315.7894736842106
475,101546,Harley-Davidson Fat Bob,39,50000,Credit card,STAMPEDE HARLEY-DAVIDSON,NYC,USA,2003,2003-01-10,January,Friday,1950000,1282.051282051282
476,101547,Harley-Davidson Fat Bob,33,50000,Credit card,ROCKY TOP HARLEY-DAVIDSON,San Francisco,USA,2003,2003-03-25,March,Tuesday,1650000,1515.1515151515152
477,101548,Harley-Davidson Fat Bob,32,50000,NetBanking,MILE HIGH HARLEY-DAVIDSON,Melbourne,Australia,2003,2003-05-21,May,Wednesday,1600000,1562.5
478,101549,Harley-Davidson Fat Bob,31,50000,NetBanking,FINGER LAKES HARLEY-DAVIDSON,Chatswood,Australia,2003,2003-07-16,July,Wednesday,1550000,1612.9032258064517
479,101550,Harley-Davidson Fat Bob,50,50000,NetBanking,STINGER HARLEY-DAVIDSON,Brisbane,USA,2003,2003-09-12,September,Friday,2500000,1000.0
480,101551,Harley-Davidson Fat Bob,48,50000,Cash,ADAMEC HARLEY-DAVIDSON OF ST. AUGUSTINE,San Francisco,USA,2003,2003-10-18,October,Saturday,2400000,1041.6666666666667
481,101552,Harley-Davidson Fat Bob,43,50000,Cash,CLASSIC HARLEY-DAVIDSON,Bergamo,Italy,2003,2003-11-05,November,Wednesday,2150000,1162.7906976744187
482,101553,Harley-Davidson Fat Bob,25,50000,NetBanking,CAROLINA COAST HARLEY-DAVIDSON,San Rafael,USA,2003,2003-11-12,November,Wednesday,1250000,2000.0
483,101554,Harley-Davidson Fat Bob,28,50000,Cash,MONTY'S HARLEY-DAVIDSON,Glen Waverly,Australia,2003,2003-11-21,November,Friday,1400000,1785.7142857142858
484,101555,Harley-Davidson Fat Bob,36,50000,Credit card,WINDY CITY HARLEY-DAVIDSON,Madrid,Spain,2003,2003-12-03,December,Wednesday,1800000,1388.888888888889
485,101556,Harley-Davidson Fat Bob,27,50000,NetBanking,EMERALD COAST HARLEY-DAVIDSON,Burbank,USA,2004,2004-01-29,January,Thursday,1350000,1851.851851851852
486,101557,Harley-Davidson Fat Bob,25,50000,Cash,HONOLULU HARLEY-DAVIDSON,Lyon,France,2004,2004-03-02,March,Tuesday,1250000,2000.0
487,101558,Harley-Davidson Fat Bob,40,50000,NetBanking,WAIKIKI HARLEY-DAVIDSON,Madrid,Spain,2004,2004-04-29,April,Thursday,2000000,1250.0
488,101559,Harley-Davidson Fat Bob,34,50000,Cash,HUB CITY HARLEY-DAVIDSON,Kobenhavn,Denmark,2004,2004-06-08,June,Tuesday,1700000,1470.5882352941176
489,101560,Harley-Davidson Fat Bob,50,50000,NetBanking,OPEN ROAD HARLEY-DAVIDSON,Torino,Italy,2004,2004-08-17,August,Tuesday,2500000,1000.0
490,101561,Harley-Davidson Fat Bob,38,50000,NetBanking,HARLEY-DAVIDSON SHOP OF ROCHESTER,Bergen,Norway,2004,2004-09-03,September,Friday,1900000,1315.7894736842106
491,101562,Harley-Davidson Fat Bob,37,50000,Credit card,MIKE BRUNO'S NORTHSHORE HARLEY-DAVIDSON,Versailles,France,2004,2004-10-11,October,Monday,1850000,1351.3513513513512
492,101563,Harley-Davidson Fat Bob,43,50000,NetBanking,HARLEY-DAVIDSON OF SOUTHAMPTON,San Rafael,USA,2004,2004-10-21,October,Thursday,2150000,1162.7906976744187
493,101564,Harley-Davidson Fat Bob,43,50000,Credit card,S & P HARLEY-DAVIDSON,Nashua,USA,2004,2004-11-04,November,Thursday,2150000,1162.7906976744187
494,101565,Harley-Davidson Fat Bob,46,50000,NetBanking,BONEYARD HARLEY-DAVIDSON,Manchester,UK,2004,2004-11-17,November,Wednesday,2300000,1086.9565217391305
495,101566,Harley-Davidson Fat Bob,42,50000,Cash,CALIFORNIA HARLEY-DAVIDSON,Las Vegas,USA,2004,2004-11-29,November,Monday,2100000,1190.4761904761904
496,101567,Harley-Davidson Fat Bob,50,50000,Cash,HERITAGE HARLEY-DAVIDSON,Paris,France,2004,2004-12-09,December,Thursday,2500000,1000.0
497,101568,Harley-Davidson Fat Bob,44,50000,Cash,ANDY'S HARLEY-DAVIDSON,Brickhaven,USA,2005,2005-01-20,January,Thursday,2200000,1136.3636363636363
498,101569,Harley-Davidson Fat Bob,27,50000,Cash,CHICAGO HARLEY-DAVIDSON OF WRIGLEYVILLE,Madrid,Spain,2006,2006-02-16,February,Thursday,1350000,1851.851851851852
499,101570,Harley-Davidson CVO Limited,35,13000,Cash,CITY LIMITS HARLEY-DAVIDSON,North Sydney,Australia,2006,2006-02-17,February,Friday,455000,371.42857142857144
500,101571,Harley-Davidson CVO Limited,51,13000,Credit card,FALCONS FURY HARLEY-DAVIDSON,Allentown,USA,2006,2006-02-18,February,Saturday,663000,254.90196078431373
501,101572,Harley-Davidson CVO Limited,41,13000,NetBanking,NORTH CASCADES HARLEY-DAVIDSON,NYC,USA,2006,2006-02-19,February,Sunday,533000,317.0731707317073
502,101573,Harley-Davidson CVO Limited,48,13000,NetBanking,WILLAMETTE VALLEY HARLEY-DAVIDSON,San Francisco,USA,2006,2006-02-20,February,Monday,624000,270.8333333333333
503,101574,Harley-Davidson CVO Limited,42,13000,Cash,MATHEWS HARLEY-DAVIDSON,Madrid,Spain,2006,2006-02-21,February,Tuesday,546000,309.5238095238095
504,101575,Harley-Davidson CVO Limited,49,13000,Credit card,"ROCHESTER HARLEY-DAVIDSON, INC.",Chatswood,Australia,2006,2006-02-22,February,Wednesday,637000,265.3061224489796
505,101576,Harley-Davidson CVO Limited,30,13000,NetBanking,CYCLE CITY HARLEY-DAVIDSON,Brisbane,USA,2006,2006-02-23,February,Thursday,390000,433.3333333333333
506,101577,Harley-Davidson CVO Limited,45,13000,Cash,APOL'S HARLEY-DAVIDSON,San Francisco,USA,2006,2006-02-24,February,Friday,585000,288.8888888888889
507,101578,Harley-Davidson CVO Limited,48,13000,Credit card,SPITZIE'S HARLEY-DAVIDSON OF ALBANY,Bergamo,Italy,2006,2006-02-25,February,Saturday,624000,270.8333333333333
508,101579,Harley-Davidson CVO Limited,32,13000,Cash,PRECISION HARLEY-DAVIDSON,San Rafael,USA,2006,2006-02-26,February,Sunday,416000,406.25
509,101580,Harley-Davidson CVO Limited,46,13000,Credit card,SOUTHERN THUNDER HARLEY-DAVIDSON,Glen Waverly,Australia,2006,2006-02-27,February,Monday,598000,282.60869565217394
510,101581,Harley-Davidson CVO Limited,48,13000,Credit card,RENO HARLEY-DAVIDSON,Madrid,Spain,2006,2006-02-28,February,Tuesday,624000,270.8333333333333
511,101582,Harley-Davidson CVO Limited,33,13000,NetBanking,OLD PUEBLO HARLEY-DAVIDSON,Burbank,USA,2006,2006-03-01,March,Wednesday,429000,393.93939393939394
512,101583,Harley-Davidson CVO Limited,31,13000,NetBanking,ARSENAL HARLEY-DAVIDSON,Lyon,France,2006,2006-03-02,March,Thursday,403000,419.35483870967744
